Index	Direction	Timesteamp	ID	Format	Type	Length	Data	
1300170	Receive	 15:10:16.276.0	0x1dff1a03	Data	Extend	8	C3 FE FF FF C3 EE FF FF 
1300171	Receive	 15:10:16.276.0	0x1dff1a03	Data	Extend	8	C4 00 00 FF FF FF FF FF 
1300172	Receive	 15:10:16.276.0	0x1dff1b03	Data	Extend	8	20 0A 3F 9F D7 FF 55 00 
1300173	Receive	 15:10:16.276.0	0x1dff1b03	Data	Extend	8	21 42 00 24 00 FF FF FF 
1300174	Receive	 15:10:16.276.0	0x09fd0220	Data	Extend	8	FF 4E 01 2D 26 FA FF FF 
1300175	Receive	 15:10:16.276.0	0x15fd08d8	Data	Extend	8	FF 04 03 51 81 FF FF FF 
1300176	Receive	 15:10:16.276.0	0x09f80203	Data	Extend	8	FF FC E3 1F 93 00 FF FF 
1300177	Receive	 15:10:16.276.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300178	Receive	 15:10:16.292.0	0x09f80109	Data	Extend	8	D5 D1 50 1D 45 87 CC FF 
1300179	Receive	 15:10:16.292.0	0x09f8010c	Data	Extend	8	C0 D1 50 1D 4F 87 CC FF 
1300180	Receive	 15:10:16.292.0	0x09f80103	Data	Extend	8	C3 D1 50 1D 8D 87 CC FF 
1300181	Receive	 15:10:16.292.0	0x15fd0603	Data	Extend	8	FF FF FF DB 70 03 04 FF 
1300182	Receive	 15:10:16.308.0	0x0df50b23	Data	Extend	8	FF 1E 03 00 00 00 00 0E 
1300183	Receive	 15:10:16.323.0	0x09f10514	Data	Extend	8	20 15 30 38 FF FF 7F FF 
1300184	Receive	 15:10:16.323.0	0x09f10514	Data	Extend	8	21 FF FF FF D1 06 D1 06 
1300185	Receive	 15:10:16.323.0	0x09f10514	Data	Extend	8	22 FF 7F FF 7F FF 7F FF 
1300186	Receive	 15:10:16.323.0	0x09f10514	Data	Extend	8	23 FF FF FF FF FF FF FF 
1300187	Receive	 15:10:16.323.0	0x09f10d14	Data	Extend	8	FF 00 8C FA FF 7F FF FF 
1300188	Receive	 15:10:16.323.0	0x09fe1203	Data	Extend	8	80 0C FF 7F FF 7F B0 05 
1300189	Receive	 15:10:16.323.0	0x09f10d1c	Data	Extend	8	FF FF FF 7F CF F7 FF FF 
1300190	Receive	 15:10:16.323.0	0x09fe1203	Data	Extend	8	81 1C 00 FF 7F 21 02 FF 
1300191	Receive	 15:10:16.355.0	0x0df11903	Data	Extend	8	FF 72 12 37 01 D6 FF FF 
1300192	Receive	 15:10:16.355.0	0x09f11203	Data	Extend	8	FF 72 12 FF 7F B8 00 FC 
1300193	Receive	 15:10:16.355.0	0x1cff0003	Data	Extend	8	3F 9F 0E 00 00 00 FF FF 
1300194	Receive	 15:10:16.355.0	0x09f11303	Data	Extend	8	FF D0 48 D9 FF FF FF FF 
1300195	Receive	 15:10:16.355.0	0x0df11403	Data	Extend	8	FF 01 00 FF FF FF FF FF 
1300196	Receive	 15:10:16.355.0	0x1dff1a03	Data	Extend	8	E0 1D 3F 9F FD FF FF FF 
1300197	Receive	 15:10:16.355.0	0x1dff1a03	Data	Extend	8	E1 37 FF FF FF 82 FF FF 
